Date,Type,Registration,Operator,Fatalities,Location,Cat
21-NOV-1971,SE-210 Caravelle III,B-1852,21-NOV-1971,25.0,near Penghu Island,C1
22-NOV-1971,Antonov An-2R,CCCP-62760,22-NOV-1971,0.0,near Yerevan,A1
23-NOV-1971,Fokker F-27 Friendship 500,9V-BCU,23-NOV-1971,0.0,Kota Kinabal...,A1
24-NOV-1971,Boeing 727-51,N467US,24-NOV-1971,0.0,Seattle/Taco...,H2
27-NOV-1971,Boeing 727,,27-NOV-1971,0.0,Havana-José ...,H2
29-NOV-1971,Antonov An-2R,CCCP-32207,29-NOV-1971,1.0,near Aloja Airstrip,A1
01-DEC-1971,Antonov An-24B,CCCP-46788,01-DEC-1971,57.0,near Saratov Airp...,A1
02-DEC-1971,Boeing 720,,02-DEC-1971,0.0,Paris-Orly A...,H2
04-DEC-1971,DC-9-31,N8943E,04-DEC-1971,0.0,Raleigh/Durh...,A2
04-DEC-1971,Lockheed LC-130F Hercules,148321,04-DEC-1971,0.0,D-59 Station,A2
05-DEC-1971,DHC-6 Twin Otter 300,13808,05-DEC-1971,0.0,Islamabad-Ch...,O1
05-DEC-1971,DHC-6 Twin Otter 300,AP-AWH,05-DEC-1971,0.0,Dhaka-Tejgao...,O1
05-DEC-1971,Nord 262A-25,F-BNMO,05-DEC-1971,2.0,near Lannion-Serv...,A1
05-DEC-1971,Lockheed P-3A Orion,152151,05-DEC-1971,1.0,near Luzon Island...,A1
06-DEC-1971,Fokker F-27 Friendship 200,ST-AAY,06-DEC-1971,10.0,Kapoeta,A1
06-DEC-1971,Antonov An-12,,06-DEC-1971,,near Melitopol,A1
08-DEC-1971,Antonov An-2,CCCP-98292,08-DEC-1971,1.0,near Damanka,A1
09-DEC-1971,HAL-748,VT-DXG,09-DEC-1971,21.0,near Cumbum,A1
09-DEC-1971,Antonov An-2,CCCP-33164,09-DEC-1971,0.0,within Tashkent Region,A1
10-DEC-1971,Douglas C-47B (DC-3),A65-111,10-DEC-1971,,Laverton Air...,O1
12-DEC-1971,BAC One-Eleven 412EB,AN-BBI,12-DEC-1971,1.0,San José,H2
12-DEC-1971,Fokker F-27 Friendship 200,AP-ALX,12-DEC-1971,4.0,near Iranian...,A1
12-DEC-1971,Grumman C-2A Greyhound,152793,12-DEC-1971,10.0,near Cubi Point N...,A1
12-DEC-1971,Antonov An-2,CCCP-55567,12-DEC-1971,2.0,Farikha Airs...,A1
15-DEC-1971,Boeing 707-340C,AP-AVZ,15-DEC-1971,0.0,Urumqi Airpo...,A1
16-DEC-1971,Fairchild F-27M,CP-862,16-DEC-1971,2.0,Cochabamba,H2
16-DEC-1971,Convair CV-440-11,YU-ADV,16-DEC-1971,0.0,Trieste-Ronc...,A1
17-DEC-1971,Douglas C-47B (DC-3),BJ622,17-DEC-1971,5.0,Machuka,A1
17-DEC-1971,Douglas C-47 (DC-3),HJ244,17-DEC-1971,,Machuka,U1
17-DEC-1971,HAL-748,VT-DXO,17-DEC-1971,0.0,Trivandrum A...,A2
19-DEC-1971,C-7A Caribou (DHC-4),62-4173,19-DEC-1971,0.0,near San Francisc...,A1
19-DEC-1971,Douglas C-54A (DC-4),LV-JPG,19-DEC-1971,6.0,Cerro Huayca,A1
21-DEC-1971,BN-2 Islander,N589JA,21-DEC-1971,0.0,near Culebra Airp...,A1
21-DEC-1971,Douglas DC-3,XW-TFC,21-DEC-1971,2.0,Ban Boum,A1
21-DEC-1971,Ilyushin Il-18V,LZ-BES,21-DEC-1971,28.0,Sofia-Vrazhd...,A1
22-DEC-1971,BN-2A-6 Islander,N42JA,22-DEC-1971,0.0,Dajabon,H2
23-DEC-1971,Ilyushin Il-18D,HA-MOI,23-DEC-1971,0.0,near Damascus Air...,A2
24-DEC-1971,Lockheed L-188A Electra,OB-R-941,24-DEC-1971,91.0,Puerto Inca,A1
24-DEC-1971,Boeing 707,,24-DEC-1971,0.0,Chicago-O'Ha...,H2
24-DEC-1971,Fairchild C-123K Provider,613,24-DEC-1971,0.0,Long Tieng A...,A1
26-DEC-1971,DC-9-32,,26-DEC-1971,0.0,Havana-José ...,H2
26-DEC-1971,Boeing 707,,26-DEC-1971,0.0,San Francisc...,H2
